Traffic_Level,ID,Delivery_person_ID,weather_description,Type_of_order,Type_of_vehicle,Delivery_person_Age,Delivery_person_Rating,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,temperature,humidity,precipitation,Distance_km,DeliveryTimeMins,RestaurantID,CustomerID,OrderID,Age,AgeGroup,Gender,IncomeLevel,OrderFrequency,Location,PreferredCuisine,Area,City,RestaurantName,Price,AvgRating,Total ratings,FoodType,Address,Delivery time,ReducedTime,Delivery Band,Reduced DeliveryTime
Very Low,E109,KNPRES16DEL01,clear sky,Snack,scooter,25,4.7,26.482.581,80.315.628,26.492.581,80.325.628,25.69,42,0,1.75,12.05,447779,9944,E109,34,26-35,Male,Medium,Medium,Bangalore,Mughlai,Marol Sakinaka,Mumbai,Kings Shawarma,150,2.9,80,Snacks,Marol Sakinaka,44,10.845,31-45 mins,10.845
High,7E1F,RANCHIRES18DEL03,clear sky,Drinks,motorcycle,26,4.9,23.351.489,85.324.253,23.411.489,85.384.253,17.72,68,0,11.34,45.3,201120,109,7E1F,33,26-35,Female,High,High,Bangalore,Punjabi,Andheri East,Mumbai,Khichdi Paradise,300,4,50,"Home Food,Indian,North Indian,Beverages",Marol Industrial Estate,51,40.77,45+ mins,40.77
Very High,AD60,INDORES16DEL01,clear sky,Drinks,motorcycle,24,4.6,22.744.648,75.894.377,22.854.648,76.004.377,22.29,45,0,24.08,55.65,58758,9359,AD60,47,46+,Female,Medium,Low,Bangalore,North Indian,Indiranagar,Bangalore,Srinidhi Sagar Food Line,400,2.9,80,"Chinese,South Indian,North Indian",Double Road,55,50.085,45+ mins,50.085
High,1B6A,RANCHIRES18DEL02,clear sky,Meal,scooter,29,4.6,23.351.489,85.324.253,23.431.489,85.404.253,17.79,68,0,16.17,39.8,251329,112,1B6A,33,26-35,Female,Medium,Medium,Bangalore,Tandoor,Khairtabad,Hyderabad,Babai Express,200,3.7,20,Snacks  South Indian  Telangana,Lakdikapul,39,35.82,31-45 mins,35.82
High,BD69,MYSRES16DEL01,clear sky,Meal,motorcycle,39,4.2,12.316.967,76.603.067,12.386.967,76.673.067,20.79,68,0,18.74,33.9,448583,2008,BD69,60,46+,Female,Medium,Low,Bangalore,Desserts,Aminjikarai,Chennai,Ammi'S Biryani,300,2.9,80,"Biryani,North Indian,Kebabs,Mughlai,Grill,Desserts,Sweets,Beverages",Manickam Road,59,30.51,45+ mins,30.51
Moderate,39F7,JAPRES07DEL03,haze,Meal,scooter,38,4.7,26.766.536,75.837.333,26.826.536,75.897.333,20.14,68,0,10.76,22.75,448583,4631,39F7,46,46+,Female,Medium,Medium,Bangalore,Mughlai,Aminjikarai,Chennai,Ammi'S Biryani,300,2.9,80,"Biryani,North Indian,Kebabs,Mughlai,Grill,Desserts,Sweets,Beverages",Manickam Road,59,20.475,45+ mins,20.475
High,AFC4,COIMBRES16DEL02,mist,Snack,scooter,35,4.7,11.010.375,7.695.295,11.090.375,7.703.295,24.95,73,0,17.3,46.95,146975,119,AFC4,48,46+,Male,Low,Medium,Bangalore,South Indian,Narolgam,Ahmedabad,Shree Ambika Ma,200,3,20,"Chinese,North Indian,South Indian",Nikol,77,42.255,45+ mins,42.255
High,D6EF,AGRRES01DEL02,clear sky,Meal,scooter,24,4.4,27.161.661,78.011.544,27.241.661,78.091.544,21.83,50,0,18.98,36.25,46979,121,D6EF,27,26-35,Female,Low,Low,Bangalore,Gujarati,Parvati Paytha,Pune,A1 Pizza Sandwich And Burger,200,2.9,80,Fast Food,Sant Nagar,57,32.625,45+ mins,32.625
High,7A81,MUMRES18DEL01,smoke,Drinks,motorcycle,22,4.8,191.093,72.825.451,191.493,72.865.451,27.73,57,0,15.4,58.8,46979,2416,7A81,22,18-25,Male,Low,Medium,Bangalore,Mughlai,Parvati Paytha,Pune,A1 Pizza Sandwich And Burger,200,2.9,80,Fast Food,Sant Nagar,57,52.92,45+ mins,52.92
Low,5CBB,MYSRES18DEL01,clear sky,Drinks,scooter,37,4.4,12.337.928,76.617.889,12.407.928,76.687.889,20.8,67,0,14.28,27.9,109787,3667,5CBB,49,46+,Male,Medium,Medium,Bangalore,Mughlai,Ashok Nagar,Bangalore,Chianti,1250,4.7,50,"Italian,Pizzas,Salads,Pastas,Desserts",Ramanashree Arcade,46,25.11,45+ mins,25.11
High,92EC,CHENRES010DEL02,broken clouds,Drinks,scooter,34,4.8,13.066.762,80.251.865,13.116.762,80.301.865,26.39,88,0,13.21,55.2,318287,123,92EC,44,36-45,Male,Medium,Low,Bangalore,Gujarati,Shivaji Nagar,Bangalore,Romeo Lassi Shop,250,2.9,80,"Beverages,Ice Cream,Snacks,Desserts",Chandni Chowk Rd Shivaji Nagar,38,49.68,31-45 mins,49.68
High,9151,BANGRES14DEL02,mist,Buffet,scooter,34,4.4,12.949.934,77.699.386,12.999.934,77.749.386,19.73,93,0,14.78,49.35,312573,127,9151,47,46+,Female,Low,Low,Bangalore,Lucknowi,Tiljala,Kolkata,Dil Desi Dhaba,400,3.8,50,"North Indian,Biryani,Mughlai,Snacks",Picnic Garden,70,44.415,45+ mins,44.415
High,C677,KOCRES11DEL01,mist,Meal,scooter,23,4.7,10.006.881,76.345.397,10.076.881,76.415.397,23.86,88,0,15.03,41.5,445835,128,C677,25,18-25,Male,Low,Medium,Bangalore,Punjabi,Rohini,Delhi,Thaaliwalaa,200,4,20,"Punjabi,North Indian,Indian,Thalis",Rohini,36,37.35,31-45 mins,37.35
Moderate,377C,VADRES010DEL03,clear sky,Buffet,electric_scooter,32,4.9,22.310.329,73.169.083,22.370.329,73.229.083,22.74,43,0,13.28,29.65,258116,4747,377C,34,26-35,Female,High,High,Bangalore,Biryani,Ashok Nagar,Bangalore,Aaliyar Ambur Dum Biryani,200,2.9,80,Indian,Central Bangalore,37,26.685,31-45 mins,26.685
Very High,7623,SURRES16DEL02,clear sky,Snack,scooter,25,4.6,21.160.437,72.774.209,21.290.437,72.904.209,24.9,42,0,34.64,58.65,258116,8826,7623,44,36-45,Female,Medium,Medium,Bangalore,Lucknowi,Ashok Nagar,Bangalore,Aaliyar Ambur Dum Biryani,200,2.9,80,Indian,Central Bangalore,37,52.785,31-45 mins,52.785
High,50C4,MYSRES15DEL01,scattered clouds,Buffet,motorcycle,28,4.7,12.352.058,7.660.665,12.462.058,7.671.665,18.25,82,0,23.28,41.6,428154,131,50C4,28,26-35,Male,Medium,Low,Bangalore,Tandoor,Shivaji Nagar,Pune,Noto - Healthy Ice Cream,250,2.9,80,Ice Cream,Shivaji Nagar,44,37.44,31-45 mins,37.44
High,6445,JAPRES17DEL02,haze,Snack,motorcycle,34,3.5,26.892.312,75.806.896,26.972.313,75.886.896,19.99,68,0,14.11,48.95,434781,133,6445,18,18-25,Male,Medium,Low,Bangalore,South Indian,Rohini,Delhi,Taste Of Nawaabs,650,2.9,80,"Biryani,Indian",Rohini,53,44.055,45+ mins,44.055
Low,501D,SURRES010DEL01,mist,Buffet,motorcycle,31,4.4,2.117.106,72.789.292,2.121.106,72.829.292,24.94,73,0,7.48,24.95,434781,3870,501D,35,26-35,Female,Medium,Low,Bangalore,Gujarati,Rohini,Delhi,Taste Of Nawaabs,650,2.9,80,"Biryani,Indian",Rohini,53,22.455,45+ mins,22.455
High,33DC,VADRES13DEL01,clear sky,Drinks,motorcycle,24,4.9,22.310.237,73.158.921,22.420.237,73.268.921,22.49,44,0,20.49,42.5,106990,134,33DC,60,46+,Male,Medium,High,Bangalore,North Indian,Adajan,Surat,Happyiezz,300,2.9,80,"Snacks,Beverages,Fast Food",Nr Income Tax Office,47,38.25,45+ mins,38.25
High,DEB4,LUDHRES06DEL02,clear sky,Snack,motorcycle,34,4.9,30.895.204,75.822.103,30.945.204,75.872.103,19.01,56,0,11.67,35.05,37478,136,DEB4,21,18-25,Male,Medium,Low,Bangalore,Desserts,Prahlad Nagar,Ahmedabad,The Dark Roast,500,4.6,50,"Cafe,Italian,Combo,Beverages",Prahlad Nagar,47,31.545,45+ mins,31.545
High,8B2B,MUMRES14DEL03,smoke,Buffet,scooter,38,4.6,191.813,72.836.191,192.413,72.896.191,26.22,44,0,13.14,42.95,434070,139,8B2B,40,36-45,Male,Low,Medium,Bangalore,Desserts,Vanasthalipuram,Hyderabad,Subbayya Gari Hotel,250,3.9,500,South Indian,Vanasthalipuram,68,38.655,45+ mins,38.655
Low,3185,HYDRES19DEL03,broken clouds,Snack,scooter,25,4.8,17.458.998,78.500.366,17.488.998,78.530.366,21.29,64,0,6.78,24.75,434070,2754,3185,37,36-45,Female,Low,High,Bangalore,Gujarati,Vanasthalipuram,Hyderabad,Subbayya Gari Hotel,250,3.9,500,South Indian,Vanasthalipuram,68,22.275,45+ mins,22.275
High,33A0,JAPRES06DEL03,clear sky,Drinks,motorcycle,29,4.5,26.911.927,75.797.282,27.001.927,75.887.282,19.95,46,0,17.28,54.65,432270,140,33A0,42,36-45,Male,Low,High,Bangalore,Tandoor,Kothrud,Pune,Shawarma Culture,200,2.9,80,Indian,Kothrud,62,49.185,45+ mins,49.185
High,4F3C,SURRES04DEL01,clear sky,Buffet,motorcycle,30,4.2,21.173.493,72.801.953,21.243.493,72.871.953,22.87,42,0,14.05,34.8,349722,142,4F3C,50,46+,Male,Low,High,Bangalore,South Indian,Nagarathpete,Bangalore,Atithi Satkaar,350,2.9,80,Indian,Majestic,46,31.32,45+ mins,31.32
Low,7C6,VADRES010DEL01,clear sky,Drinks,scooter,30,5,22.310.329,73.169.083,22.320.329,73.179.083,22.9,42,0,2.9,20.05,349722,2852,7C6,23,18-25,Male,Medium,Medium,Bangalore,North Indian,Nagarathpete,Bangalore,Atithi Satkaar,350,2.9,80,Indian,Majestic,46,18.045,45+ mins,18.045
Low,46FA,CHENRES16DEL02,mist,Buffet,motorcycle,20,4.9,13.049.645,80.242.268,13.099.645,80.292.268,26.37,88,0,11.34,25.3,349722,3583,46FA,31,26-35,Female,Low,Low,Bangalore,Snacks,Nagarathpete,Bangalore,Atithi Satkaar,350,2.9,80,Indian,Majestic,46,22.77,45+ mins,22.77
High,DC09,ALHRES12DEL01,clear sky,Buffet,motorcycle,23,4.8,25.443.994,81.860.187,25.553.994,81.970.187,25.06,44,0,25.23,46.85,163881,2501,DC09,38,36-45,Male,Medium,High,Bangalore,Lucknowi,Kurla,Mumbai,The Netrik'S Joint,200,3.1,100,"Fast Food,Biryani,American,Lebanese,Beverages,Chinese",Kurla,44,42.165,31-45 mins,42.165
Very High,9177,BANGRES15DEL03,fog,Meal,motorcycle,36,4.8,12.975.377,77.696.664,13.065.377,77.786.664,19.19,93,0,21.79,51.4,84174,7986,9177,22,18-25,Female,Low,Low,Bangalore,Mughlai,Antop Hill,Mumbai,Jaybharat Bar & Restaurant,500,2.9,80,North Indian,Sion  Bhakti Park,66,46.26,45+ mins,46.26
High,3B2E,CHENRES02DEL02,mist,Drinks,scooter,32,4.1,13.086.438,80.220.672,13.136.439,80.270.672,26.36,88,0,12.24,52.8,321912,147,3B2E,50,46+,Male,Low,Medium,Bangalore,Gujarati,Vishnu Garden,Delhi,Paratha Universe,250,2.9,80,"Chinese,Indian",Rajouri Garden,70,47.52,45+ mins,47.52
High,2CB6,JAPRES13DEL01,haze,Drinks,motorcycle,25,4.7,26.846.156,758.023,26.956.156,759.123,20.06,68,0,23.52,55.85,350378,148,2CB6,34,26-35,Female,High,Medium,Bangalore,Punjabi,Koregoan Park,Pune,Dal Baati & Co.,500,2.9,80,"Thalis,North Indian,Indian",Dhole Patil Road,68,50.265,45+ mins,50.265
High,5C7A,BANGRES15DEL02,fog,Drinks,motorcycle,31,4,12.975.377,77.696.664,13.105.377,77.826.664,18.97,93,0,27.12,58.85,417079,964,5C7A,24,18-25,Female,Medium,Medium,Bangalore,Desserts,Salt Lake,Kolkata,Johar,300,2.9,80,"Bengali,Indian",Salt Lake,72,52.965,45+ mins,52.965
High,AC01,INDORES08DEL02,clear sky,Buffet,motorcycle,33,4.8,22.725.748,75.898.497,22.805.747,75.978.497,17.21,53,0,18.15,39.15,136798,150,AC01,58,46+,Male,High,Medium,Bangalore,North Indian,Pitam Pura,Delhi,Bad Food,200,2.9,80,"Italian,American,Beverages",Rohini,63,35.235,45+ mins,35.235
High,A3A6,PUNERES04DEL03,clear sky,Snack,motorcycle,20,4.9,1.851.421,73.838.429,1.860.421,73.928.429,19.05,65,0,16.57,48.4,65028,152,A3A6,39,36-45,Male,High,Medium,Bangalore,South Indian,Athwa,Surat,Subway,350,4.2,100,"Fast Food,Healthy Food,Salads,Snacks,Desserts,Beverages",Ghod Dod Road,30,43.56,21-30 mins,43.56
Very Low,3DA9,VADRES03DEL01,clear sky,Buffet,scooter,21,5,22.32,73.17,22.33,73.18,22.93,42,0,2.74,10.15,65028,9637,3DA9,58,46+,Female,High,Medium,Bangalore,Biryani,Athwa,Surat,Subway,350,4.2,100,"Fast Food,Healthy Food,Salads,Snacks,Desserts,Beverages",Ghod Dod Road,30,9.135,21-30 mins,9.135
High,CD30,KOLRES03DEL03,haze,Drinks,motorcycle,27,4.9,22.526.461,88.364.453,22.616.461,88.454.453,23.03,83,0,20.49,55.85,85320,155,CD30,57,46+,Male,Low,High,Bangalore,Mughlai,Chamrajpet,Bangalore,By 2 Coffee,100,4.4,100,South Indian,Chamarajpet,45,50.265,31-45 mins,50.265
Low,96A0,VADRES010DEL02,clear sky,Meal,electric_scooter,38,4.8,22.310.329,73.169.083,22.360.329,73.219.083,22.78,43,0,10.23,18.9,103112,2986,96A0,25,18-25,Male,Low,Medium,Bangalore,Chinese,Powai,Mumbai,Ranjana'S Rannaghor - The Bengali Kitchen,200,4,100,"Bengali,North Indian,Biryani,Mughlai,Indian,Desserts,Seafood,Snacks,Beverages,Tandoor,Kebabs,Afghani,Thalis,Combo,Barbecue",Stanny Compound,47,17.01,45+ mins,17.01
High,9646,COIMBRES17DEL02,mist,Buffet,scooter,37,4.8,11.026.117,76.944.652,11.106.117,77.024.652,24.98,73,0,16.91,43.8,346301,157,9646,23,18-25,Male,Medium,Medium,Bangalore,Tandoor,Baranagar,Kolkata,Kalpanas Kitchen,400,4.2,50,"Indian,Chinese,Combo",North Dumdum,77,39.42,45+ mins,39.42
Low,1971,CHENRES02DEL02,mist,Buffet,scooter,30,4.9,13.086.438,80.220.672,13.106.438,80.240.672,26.31,88,0,4.61,24.35,346301,3014,1971,54,46+,Male,Medium,Low,Bangalore,Tandoor,Baranagar,Kolkata,Kalpanas Kitchen,400,4.2,50,"Indian,Chinese,Combo",North Dumdum,77,21.915,45+ mins,21.915
High,33DD,HYDRES16DEL03,broken clouds,Meal,electric_scooter,23,4.1,17.440.827,78.393.391,17.500.827,78.453.391,21.37,64,0,14.16,35.4,29534,158,33DD,42,36-45,Male,High,Low,Bangalore,Mughlai,Malleswaram,Bangalore,Chung Wah,700,4,500,"Chinese,Snacks",Vyalikawal,49,31.86,45+ mins,31.86
High,225A,JAPRES20DEL01,clear sky,Buffet,scooter,33,4.7,26.956.431,75.776.649,27.026.431,75.846.649,19.23,46,0,16.17,40.05,29534,447,225A,37,36-45,Male,Medium,Low,Bangalore,Mughlai,Malleswaram,Bangalore,Chung Wah,700,4,500,"Chinese,Snacks",Vyalikawal,49,36.045,45+ mins,36.045
High,B041,RANCHIRES01DEL03,clear sky,Meal,motorcycle,38,4.7,23.416.792,85.316.842,23.506.792,85.406.842,17.41,69,0,18.92,35.5,443550,162,B041,47,46+,Female,Medium,Medium,Bangalore,Mughlai,Marol Sakinaka,Mumbai,Marol Fusion Food By D'Unik,400,2.9,80,"North Indian,Chinese,Kebabs",Marol Sakinaka,52,31.95,45+ mins,31.95
High,A14D,MYSRES01DEL02,broken clouds,Meal,scooter,32,3.6,12.311.072,76.654.878,12.441.072,76.784.878,17.79,82,0,25.55,43.6,441726,168,A14D,35,26-35,Female,High,High,Bangalore,Tandoor,Adajan,Surat,Bhandari Chakhna,300,2.9,80,"Indian,Fast Food",Adajan,57,39.24,45+ mins,39.24
High,711A,JAPRES07DEL02,haze,Buffet,motorcycle,21,5,26.766.536,75.837.333,26.846.536,75.917.333,20.18,68,0,16.14,34.05,405340,170,711A,50,46+,Male,Low,Low,Bangalore,Chinese,Annanagar,Chennai,Cafe Express,280,2.9,80,"Pastas,Chinese,Waffle",Annanagar,72,30.645,45+ mins,30.645
Very High,4146,MUMRES05DEL03,smoke,Meal,motorcycle,28,4.9,18.927.584,72.832.585,18.987.584,72.892.585,29.05,54,0,48.72,55.3,405340,8473,4146,32,26-35,Male,Low,Low,Bangalore,Lucknowi,Annanagar,Chennai,Cafe Express,280,2.9,80,"Pastas,Chinese,Waffle",Annanagar,72,49.77,45+ mins,49.77
Moderate,3641,JAPRES09DEL03,haze,Drinks,motorcycle,29,4.8,26.911.378,75.789.034,26.941.378,75.819.034,19.7,68,0,7.27,40.7,336053,4687,3641,24,18-25,Female,High,Low,Bangalore,Biryani,Rohini,Delhi,Wendy'S,200,4.1,100,American,Sector 8,40,36.63,31-45 mins,36.63
High,8227,JAPRES16DEL01,haze,Buffet,motorcycle,22,4.3,26.849.596,75.800.512,26.919.596,75.870.512,19.69,68,0,14.04,36.3,380756,174,8227,39,36-45,Male,Medium,Medium,Bangalore,Snacks,Basavanagudi,Bangalore,Gama Gama Hotel,150,4.4,100,"Street Food,South Indian,Indian",Basavanagudi,55,32.67,45+ mins,32.67
High,3442,INDORES11DEL01,clear sky,Buffet,scooter,20,4.9,22.751.234,7.588.949,22.861.234,7.599.949,17.3,53,0,18.44,44.15,211008,266,3442,43,36-45,Female,Medium,High,Bangalore,Tandoor,Sion,Mumbai,Modern Lunch Home,600,4.4,100,"Chinese,Konkan,North Indian,Seafood",Sion Bhakti Park,47,39.735,45+ mins,39.735
Low,4.50E+07,PUNERES08DEL02,clear sky,Drinks,motorcycle,28,4.6,1.853.408,7.389.852,1.855.408,7.391.852,23.02,48,0,7.56,27.05,294413,4164,4.50E+07,34,26-35,Male,High,Low,Bangalore,Biryani,Vesu,Surat,Star Sea Food Centre 2,300,4.2,100,Indian,Katargam,60,24.345,45+ mins,24.345
High,3D21,RANCHIRES16DEL01,clear sky,Meal,motorcycle,35,3.6,23.371.292,85.327.872,23.441.292,85.397.872,17.77,68,0,18.75,34.95,219356,178,3D21,43,36-45,Male,Medium,High,Bangalore,Biryani,Gultekdi,Pune,Squisito Cafe Italiano,250,4.3,20,"Beverages,Desserts,Pastas",Bibwewadi,55,31.455,45+ mins,31.455
Moderate,2F91,RANCHIRES18DEL03,mist,Meal,scooter,20,4.7,23.351.489,85.324.253,23.381.489,85.354.253,20.04,83,0,5.91,25,219356,5897,2F91,37,36-45,Female,Low,High,Bangalore,Tandoor,Gultekdi,Pune,Squisito Cafe Italiano,250,4.3,20,"Beverages,Desserts,Pastas",Bibwewadi,55,22.5,45+ mins,22.5
Moderate,DC33,KOLRES16DEL01,haze,Meal,scooter,20,4.9,22.539.129,88.365.507,22.579.129,88.405.507,28.01,65,0,10.15,24.7,219356,6675,DC33,50,46+,Female,Medium,High,Bangalore,South Indian,Gultekdi,Pune,Squisito Cafe Italiano,250,4.3,20,"Beverages,Desserts,Pastas",Bibwewadi,55,22.23,45+ mins,22.23
High,D152,BHPRES15DEL03,clear sky,Meal,scooter,38,4.8,23.234.249,77.434.007,23.294.249,77.494.007,18.24,57,0,13.62,32.7,8323,179,D152,41,36-45,Male,Medium,Medium,Bangalore,Punjabi,Punjabi Bagh,Delhi,Blue Water Grille,600,3.9,100,"North Indian,Chinese,Continental,Fast Food",Punjabi Bagh,68,29.43,45+ mins,29.43
High,8FA0,SURRES01DEL01,clear sky,Buffet,electric_scooter,30,4.4,21.186.438,72.794.115,21.296.438,72.904.115,22.79,43,0,20.21,42.15,376629,183,8FA0,50,46+,Male,High,Low,Bangalore,Gujarati,Andheri East,Mumbai,Chine Dine,350,3.7,100,"Chinese,Thai,North Indian,Biryani,South Indian,Maharashtrian,Snacks,Combo",Marol Sakinaka,56,37.935,45+ mins,37.935
Moderate,7572,MUMRES08DEL01,smoke,Meal,motorcycle,38,4.6,19.065.838,72.832.658,19.105.838,72.872.658,26.97,44,0,9.58,33.05,237526,5259,7572,51,46+,Male,High,Medium,Bangalore,Gujarati,Richmond Town,Bangalore,Big Biriyani Company,350,2.5,20,"Biryani,Mughlai",Aga Abdullah Street,37,29.745,31-45 mins,29.745
High,B22B,RANCHIRES010DEL01,clear sky,Meal,motorcycle,31,4.8,23.354.422,853.329,23.424.422,854.029,17.85,68,0,15.62,40.15,279863,186,B22B,23,18-25,Male,Medium,Low,Bangalore,Tandoor,Rohini,Delhi,Home Plate,160,4.2,500,"Home Food,North Indian,Healthy Food,Thalis,Desserts,Indian,Punjabi",Sector 7,32,36.135,31-45 mins,36.135
Very High,D8FA,KNPRES09DEL01,clear sky,Meal,scooter,26,4.9,26.473.698,80.352.677,26.583.698,80.462.677,22.98,43,0,22.81,46.45,65412,9025,D8FA,43,36-45,Female,High,Low,Bangalore,Desserts,Vastrapur,Ahmedabad,Jay Bhole Vadapav,200,4,20,"Snacks,Fast Food",Vastrapur,49,41.805,45+ mins,41.805
Very High,AC1F,SURRES17DEL02,clear sky,Drinks,motorcycle,29,4.6,21.149.569,72.772.697,21.279.569,72.902.697,22.85,43,0,25.39,58.55,162320,7876,AC1F,40,36-45,Male,High,Low,Bangalore,South Indian,Bibwewadi,Pune,Jagdamba Veg - Nonveg,250,4.2,50,"Maharashtrian,Seafood,North Indian,Fast Food,Punjabi",Bibwewadi,65,52.695,45+ mins,52.695
High,9ABF,INDORES06DEL03,clear sky,Meal,scooter,33,5,22.728.163,75.884.212,22.818.163,75.974.212,17.23,53,0,19.18,34.9,291978,191,9ABF,54,46+,Male,Medium,Low,Bangalore,South Indian,Jayanagar,Bangalore,Guntur Spice,500,4.3,20,"Indian,Chinese,Beverages",Jayanagar,44,31.41,31-45 mins,31.41
Very High,3A78,MUMRES16DEL02,clear sky,Snack,scooter,33,4.1,19.120.083,72.907.385,19.250.083,73.037.385,28.01,49,0,25.98,53.1,291978,8773,3A78,44,36-45,Female,Low,High,Bangalore,Desserts,Jayanagar,Bangalore,Guntur Spice,500,4.3,20,"Indian,Chinese,Beverages",Jayanagar,44,47.79,31-45 mins,47.79
High,4291,SURRES03DEL01,clear sky,Meal,scooter,34,3.8,21.186.884,72.793.616,21.296.884,72.903.616,22.79,43,0,20.19,42.15,298400,194,4291,28,26-35,Female,Low,Medium,Bangalore,Biryani,Raja Bazar,Kolkata,Lazeez  Fast  Food  Centre,200,2.9,80,"Fast Food,Chinese",Opposite Hind Mahal,45,37.935,31-45 mins,37.935
Moderate,9.00E+28,BANGRES11DEL01,haze,Meal,electric_scooter,20,4.7,12.934.365,77.616.155,12.974.365,77.656.155,23.18,72,0,10.93,25.95,298400,6256,9.00E+28,60,46+,Male,Medium,Medium,Bangalore,Tandoor,Raja Bazar,Kolkata,Lazeez  Fast  Food  Centre,200,2.9,80,"Fast Food,Chinese",Opposite Hind Mahal,45,23.355,31-45 mins,23.355
Very High,D047,KOLRES04DEL02,haze,Drinks,scooter,21,4.6,22.538.731,88.364.878,22.668.731,88.494.878,28.01,65,0,28.16,73.65,440957,8845,D047,22,18-25,Female,Medium,Low,Bangalore,North Indian,Kalina Ck,Mumbai,Ghee And Turmeric,500,4.5,50,"North Indian,Tandoor,Punjabi,Beverages,Desserts,Mughlai",Kalina Ck,38,66.285,31-45 mins,66.285
High,7D1A,RANCHIRES15DEL03,clear sky,Buffet,motorcycle,34,4.6,23.369.746,8.533.982,23.429.746,8.539.982,17.79,68,0,14.53,41,28828,197,7D1A,20,18-25,Female,Low,High,Bangalore,South Indian,Agarkar Nagar,Pune,Shree Krishna Palace,400,2.9,80,"North Indian,Fast Food,South Indian",Near Pune Railway Station,33,36.9,31-45 mins,36.9
High,25A5,SURRES07DEL02,clear sky,Meal,motorcycle,20,5,21.170.798,72.790.489,21.250.798,72.870.489,22.9,43,0,14.64,33.85,221262,198,25A5,47,46+,Male,Medium,Low,Bangalore,Gujarati,Sector 73,Delhi,Hashtag Foods,400,3.9,100,"Continental,Italian",Ground Floor Rg Mall,37,30.465,31-45 mins,30.465
High,2ADA,PUNERES18DEL02,clear sky,Meal,motorcycle,38,4.9,18.593.481,73.785.901,18.673.481,73.865.901,22.75,49,0,17.7,42.7,221262,1874,2ADA,37,36-45,Male,Medium,Medium,Bangalore,North Indian,Sector 73,Delhi,Hashtag Foods,400,3.9,100,"Continental,Italian",Ground Floor Rg Mall,37,38.43,31-45 mins,38.43
High,DD8C,BHPRES11DEL03,clear sky,Snack,motorcycle,25,4.9,23.233.219,77.433.571,23.293.219,77.493.571,18.24,57,0,13.6,37.15,396318,199,DD8C,50,46+,Female,Low,Medium,Bangalore,Punjabi,Ghatkopar Vikhroli,Mumbai,Aai'S Kitchen,350,2.9,80,"North Indian,Biryani",Ghatkopar Vikhroli,60,33.435,45+ mins,33.435
High,4D6A,JAPRES06DEL02,haze,Meal,scooter,35,4.9,26.911.927,75.797.282,26.961.927,75.847.282,19.73,68,0,9.76,33.7,130423,200,4D6A,45,36-45,Male,Medium,Medium,Bangalore,Gujarati,Gandhi Nagar,Chennai,Al Souk,400,4.3,50,"Juices,Grill,Arabian",Anderson Road,51,30.33,45+ mins,30.33
Moderate,D987,KOCRES16DEL01,mist,Meal,motorcycle,21,4.7,10.003.064,76.307.589,10.043.064,76.347.589,23.95,88,0,7.57,25.1,130423,4465,D987,44,36-45,Male,Low,Low,Bangalore,Tandoor,Gandhi Nagar,Chennai,Al Souk,400,4.3,50,"Juices,Grill,Arabian",Anderson Road,51,22.59,45+ mins,22.59
Low,24C0,SURRES20DEL03,clear sky,Meal,scooter,35,4.5,2.115.276,72.778.059,2.118.276,72.808.059,23.57,44,0,6.21,15.45,371924,2987,24C0,40,36-45,Female,High,High,Bangalore,Desserts,New Alipore,Kolkata,Banana Leaf @ Komala Vilas,500,4.4,100,"South Indian,Beverages",Alipore,86,13.905,45+ mins,13.905
Moderate,ADB4,JAPRES17DEL03,haze,Drinks,motorcycle,24,4.6,26.892.312,75.806.896,26.922.313,75.836.896,19.58,68,0,6.14,35.7,10312,4479,ADB4,31,26-35,Male,Medium,Medium,Bangalore,Snacks,Sector 8 Rohini,Delhi,Patiala Shahi Chicken Corner,400,4.1,100,"North Indian,Beverages",Sector 8,36,32.13,31-45 mins,32.13
High,5CDE,INDORES07DEL01,haze,Meal,scooter,28,4.9,22.722.634,75.886.959,22.792.634,75.956.959,17.15,72,0,17.07,37.35,170538,208,5CDE,55,46+,Female,Low,Low,Bangalore,Mughlai,Indiranagar,Bangalore,Side Dish,200,4,20,"Tandoor,North Indian,Chinese,Snacks,Beverages,Desserts",Indiranagar Double Road,53,33.615,45+ mins,33.615
Low,9155,INDORES05DEL02,haze,Buffet,scooter,26,4.8,22.727.021,75.884.167,22.747.021,75.904.167,17.08,77,0,4.04,18.3,427216,2811,9155,25,18-25,Female,Medium,Low,Bangalore,Lucknowi,Shivaji Nagar,Pune,Bol Baby Bowl,300,2.9,80,"Continental,Indian",Shivaji Nagar,46,16.47,45+ mins,16.47
High,836D,HYDRES06DEL01,broken clouds,Meal,motorcycle,31,4.4,17.455.894,78.375.467,17.525.894,78.445.467,21.25,65,0,15.76,41.7,387323,210,836D,26,26-35,Female,Medium,Low,Bangalore,South Indian,Marol Sakinaka,Mumbai,Kebabish,500,3.3,20,North Indian,Kurla,51,37.53,45+ mins,37.53
High,2F75,RANCHIRES07DEL02,clear sky,Meal,scooter,36,4.8,23.359.407,85.325.055,23.439.407,85.405.055,17.58,69,0,15.03,37.1,108343,213,2F75,34,26-35,Male,Medium,Medium,Bangalore,Chinese,Satellite,Ahmedabad,Chhaswala,200,4.6,100,"Beverages,Desserts",Satellite,38,33.39,31-45 mins,33.39
